attack,defense,budget,N,ASR,avg_queries,block_rate,mean_max_score,demo_sessions
pair,keyword,5,50,0.3000,4.68,0.3419,5.24,20
pair,llamaguard,5,20,0.6000,4.20,0.4524,9.10,20
pair,none,5,77,0.2597,4.51,0.0000,4.36,20
pair,none,10,30,0.6667,5.30,0.0000,8.10,20
pair,promptguard,5,20,0.6000,4.30,0.3837,8.65,20
tap,keyword,5,50,0.1000,5.00,0.3240,5.48,20
tap,llamaguard,5,20,0.1500,5.00,0.4400,7.35,20
tap,none,5,55,0.2182,5.00,0.0000,5.04,20
tap,none,10,30,0.5667,8.80,0.0000,7.50,20
tap,promptguard,5,20,0.1500,5.00,0.3900,7.75,20
